donor,recipient,W
211,40,0.204780805801575
211,32,0.204780805801575
40,211,0.204780805801575
40,32,0.444935277433881
32,211,0.204780805801575
32,40,0.444935277433881
611,440,0.378839362200697
440,611,0.378839362200697
964,1203,0.417446369712711
1203,964,0.417446369712711
352,866,0.441844446254413
352,530,0.169969759093399
866,352,0.441844446254413
866,530,0.186810475909946
530,352,0.169969759093399
530,866,0.186810475909946
1591,1444,0.441041448898564
1444,1591,0.441041448898564
452,2224,0.395453129258962
2224,452,0.395453129258962
2034,65,0.353298130549758
65,2034,0.353298130549758
2325,381,0.375215278884618
2325,1735,0.209500901405947
381,2325,0.375215278884618
381,1735,0.163042922694935
1735,2325,0.209500901405947
1735,381,0.163042922694935
2129,2643,0.44727872308053
2643,2129,0.44727872308053
973,1307,0.332081948991658
1307,973,0.332081948991658
1294,1189,0.332500400697493
1189,1294,0.332500400697493
1657,1061,0.34015881615377
1061,1657,0.34015881615377
2565,278,0.165925486207655
2565,735,0.180528032583292
278,2565,0.165925486207655
278,735,0.285796092318671
735,2565,0.180528032583292
735,278,0.285796092318671
1278,1486,0.382219029670304
1278,2063,0.175250692597227
1486,1278,0.382219029670304
1486,2063,0.180148432380439
2063,1278,0.175250692597227
2063,1486,0.180148432380439
2361,2927,0.423827862178132
2927,2361,0.423827862178132
2958,2267,0.414567594259421
2267,2958,0.414567594259421
263,1528,0.266782336772769
1528,263,0.266782336772769
580,49,0.0733603958112442
580,492,0.078387076848976
580,756,0.165838858800265
580,2070,0.14817011020263
49,580,0.0733603958112442
49,492,0.365341697080819
49,756,0.184177931408136
49,2070,0.0340078566842352
492,580,0.078387076848976
492,49,0.365341697080819
492,756,0.196797870343035
492,2070,0.0363380874093854
756,580,0.165838858800265
756,49,0.184177931408136
756,492,0.196797870343035
756,2070,0.0768783221572
2070,580,0.14817011020263
2070,49,0.0340078566842352
2070,492,0.0363380874093854
2070,756,0.0768783221572
2394,2275,0.395410157912633
2394,3534,0.214219379039185
2275,2394,0.395410157912633
2275,3534,0.212501844099057
3534,2394,0.214219379039185
3534,2275,0.212501844099057
1623,1251,0.291880264734004
1251,1623,0.291880264734004
1131,1853,0.287002430954204
1853,1131,0.287002430954204
2516,892,0.0765010109014728
2516,322,0.069604546158284
2516,382,0.140495718849705
892,2516,0.0765010109014728
892,322,0.359742890056006
892,382,0.152926487544735
322,2516,0.069604546158284
322,892,0.359742890056006
322,382,0.139140367371627
382,2516,0.140495718849705
382,892,0.152926487544735
382,322,0.139140367371627
181,149,0.105413293466982
181,1552,0.128173114292746
181,1199,0.115469986316546
149,181,0.105413293466982
149,1552,0.404978359704279
149,1199,0.0577349931582732
1552,181,0.128173114292746
1552,149,0.404978359704279
1552,1199,0.0702005755951845
1199,181,0.115469986316546
1199,149,0.0577349931582732
1199,1552,0.0702005755951845
2364,1873,0.0787901449805441
2364,625,0.0665300237113695
2364,2269,0.041248548408397
2364,2080,0.040094717868873
2364,1667,0.0766368540718105
1873,2364,0.0787901449805441
1873,625,0.34361608385645
1873,2269,0.0515882683047149
1873,2080,0.0501452085669079
1873,1667,0.0958473144495191
625,2364,0.0665300237113695
625,1873,0.34361608385645
625,2269,0.0435608884129949
625,2080,0.0423423756332948
625,1667,0.0809330164904788
2269,2364,0.041248548408397
2269,1873,0.0515882683047149
2269,625,0.0435608884129949
2269,2080,0.440181998821815
2269,1667,0.203719819026367
2080,2364,0.040094717868873
2080,1873,0.0501452085669079
2080,625,0.0423423756332948
2080,2269,0.440181998821815
2080,1667,0.198021239130376
1667,2364,0.0766368540718105
1667,1873,0.0958473144495191
1667,625,0.0809330164904788
1667,2269,0.203719819026367
1667,2080,0.198021239130376
3634,4213,0.454389655942751
4213,3634,0.454389655942751
2801,2111,0.322317531417053
2111,2801,0.322317531417053
1198,553,0.407907156403321
1198,29,0.12264980095007
1198,4188,0.0816100222516553
553,1198,0.407907156403321
553,29,0.111816174393297
553,4188,0.0744014291881873
29,1198,0.12264980095007
29,553,0.111816174393297
29,4188,0.136612337669125
4188,1198,0.0816100222516553
4188,553,0.0744014291881873
4188,29,0.136612337669125
826,3909,0.295308433314105
3909,826,0.295308433314105
101,974,0.354125233130368
101,247,0.0840069092437043
974,101,0.354125233130368
974,247,0.0967687201294861
247,101,0.0840069092437043
247,974,0.0967687201294861
1462,490,0.219605277601462
1462,4806,0.170891251738915
490,1462,0.219605277601462
490,4806,0.148519365876577
4806,1462,0.170891251738915
4806,490,0.148519365876577
3817,2256,0.336593260195303
2256,3817,0.336593260195303
2975,4668,0.394513737604947
4668,2975,0.394513737604947
1399,441,0.201659196337302
1399,2708,0.0656806258884738
1399,1412,0.0563003623847217
441,1399,0.201659196337302
441,2708,0.057592820981228
441,1412,0.0493676277919051
2708,1399,0.0656806258884738
2708,441,0.057592820981228
2708,1412,0.341349588608153
1412,1399,0.0563003623847217
1412,441,0.0493676277919051
1412,2708,0.341349588608153
5077,2512,0.0924687527693122
5077,1732,0.0420664086296841
5077,2119,0.0440894363165552
5077,2629,0.188286961064327
2512,5077,0.0924687527693122
2512,1732,0.193764201913095
2512,2119,0.203082571556804
2512,2629,0.184235069208033
1732,5077,0.0420664086296841
1732,2512,0.193764201913095
1732,2119,0.372000647647335
1732,2629,0.0838132609461917
2119,5077,0.0440894363165552
2119,2512,0.203082571556804
2119,1732,0.372000647647335
