SequenceID,ClusterID
5332,1
9400,2
11446,3
7978,4
8168,5
9305,6
6903,7
7060,8
2743,9
4346,10
4853,11
8093,12
11941,13
5288,14
10281,15
51,16
1838,17
4578,18
9916,19
8683,20
107,21
3505,22
4824,23
11517,24
6257,25
7037,26
2918,27
1005,28
6727,29
2616,30
431,31
10236,32
3489,33
1698,34
7880,35
9604,36
1116,37
803,38
10486,39
5618,40
8111,41
6819,42
3933,43
7675,44
1796,45
5278,46
8704,47
5375,48
4150,49
4463,50
1974,51
6959,52
5635,53
2225,54
9953,55
7891,56
3033,57
5223,58
9751,59
8315,18
6068,60
8381,61
6245,29
2656,62
9985,63
10348,64
7463,65
2472,66
1478,67
1775,68
6909,69
7103,70
10144,71
3654,72
7866,73
5068,74
3860,75
11377,76
2332,77
2079,78
1737,79
1503,80
5841,81
900,82
4520,83
10035,84
3841,85
11779,86
9626,87
2067,88
7786,89
6089,90
8216,91
5441,92
2473,93
3167,94
6287,95
771,96
8862,97
5946,98
6116,99
1105,100
6706,42
9401,101
9641,102
10927,103
6022,9
5264,104
7432,105
11532,106
6332,107
10452,108
4455,67
6415,109
6095,110
10567,111
2577,112
8128,113
5972,114
6043,115
2181,116
4091,117
3761,118
3878,119
3171,120
831,121
3510,122
1731,123
4152,124
8954,125
5331,126
7466,127
2995,128
811,129
8163,130
7831,131
4719,132
7577,133
2874,134
30,16
3834,135
6413,136
2299,137
10944,138
106,14
624,139
4246,140
7288,141
749,142
1315,143
1864,144
1912,145
2380,146
7723,147
4215,148
3032,149
4170,150
412,151
2759,152
2452,153
10109,154
5101,155
6753,156
6780,157
7315,158
8053,159
1371,160
5150,161
5521,162
3063,116
5837,163
4911,164
5601,165
3482,166
6240,167
2161,168
139,169
5445,170
7420,171
9439,172
1041,160
10245,173
10484,174
459,175
9427,176
8567,177
7401,162
8834,178
870,179
1254,180
10502,181
1347,182
227,183
2889,184
8968,185
8076,186
675,119
422,187
3457,188
4633,189
4042,190
2921,191
703,192
6074,193
6782,194
2048,195
177,196
4887,197
5596,198
3451,199
2484,200
5412,201
3173,202
10030,203
3946,204
7395,205
5731,206
10390,207
7949,1
683,208
6663,209
579,210
10717,211
7128,212
5231,213
7433,214
5736,215
7385,216
9186,217
8042,218
1153,219
1587,220
4345,221
8077,222
985,187
3687,223
5809,224
2436,83
4539,135
2931,225
7596,174
946,135
8320,226
2224,227
3521,228
10189,111
5719,229
10076,230
3272,192
8661,231
3490,232
11696,233
3949,234
4933,235
9990,236
504,237
1972,38
8729,238
4765,53
9039,239
1440,240
31,241
9227,39
1583,195
11879,242
8289,243
2871,244
6213,245
2348,246
6052,247
11241,248
2691,249
833,250
6289,251
8528,252
747,253
4208,254
3346,255
9020,256
3790,257
7670,258
9971,259
5572,53
2543,260
7767,261
1747,262
219,263
476,21
4334,264
2731,152
4132,265
12161,266
4549,267
7206,268
740,269
10857,270
5367,271
2909,272
2126,22
9940,36
5986,45
2790,273
711,274
4888,275
8101,276
7039,277
2469,278
4049,279
1657,280
772,281
1340,282
10052,283
7989,284
12000,285
7001,286
7132,258
12086,287
5358,288
6817,156
9062,289
8410,70
883,22
927,290
948,21
5304,291
685,292
7543,261
11719,293
9704,294
366,295
2278,296
2036,297
956,298
7009,299
6024,300
3901,301
4772,276
8231,302
4924,303
11379,304
6392,305
10896,306
10252,307
1235,308
5355,258
7842,309
4679,310
6792,311
7748,312
1946,313
951,314
3026,315
6928,316
8141,317
8798,318
3206,319
7024,320
4062,321
5701,322
2034,323
949,324
9999,325
1993,326
6225,168
11012,327
1017,328
9693,329
5820,330
1145,331
568,37
5432,250
2716,332
7911,333
8299,334
10217,335
3623,336
5472,337
4382,188
1045,338
3652,339
2952,340
5405,341
4386,342
5187,343
10041,344
9021,345
6549,346
9599,347
11056,348
7216,186
2740,75
5190,349
10102,350
6738,351
9178,352
709,353
7728,333
10655,354
2013,355
835,356
3829,357
3603,358
4144,359
8443,360
6183,361
7567,362
3819,204
10993,363
1059,364
976,365
8786,366
3095,367
11849,368
5208,369
1274,370
3281,371
3921,372
704,373
2584,166
6309,140
8619,334
6111,374
4581,48
3882,375
5419,376
4206,377
6636,378
9667,379
7023,380
4971,305
6646,381
2356,382
5095,383
1448,384
8066,385
1382,386
6902,387
890,14
8718,388
7059,389
6842,390
9615,391
1239,392
3111,393
10286,394
1400,395
9311,396
9412,396
4627,397
6757,398
11862,399
82,21
856,400
10082,401
8889,402
4886,308
2382,403
254,404
4057,405
11545,406
5582,407
2293,408
6526,409
5136,240
3629,410
1553,411
751,412
8629,413
3302,414
1943,415
865,403
5569,322
1694,416
8069,417
10317,185
8893,418
2077,419
5571,420
8178,421
4862,132
9954,422
6465,423
8616,385
8785,424
919,404
789,425
6200,426
2128,427
4876,347
4314,428
5660,429
3842,430
9405,431
6951,432
9053,433
5021,434
4624,435
12095,436
12126,437
3263,438
5753,439
8115,440
5991,441
2552,442
1469,14
5162,443
9872,444
5933,445
5084,446
3222,447
10266,259
10223,138
11114,448
6992,449
3152,400
5777,450
10650,451
1354,452
9598,453
498,142
4844,454
7267,455
5429,456
8517,457
4929,458
4348,459
10873,460
10588,461
9842,462
7091,463
7142,222
1815,464
2414,465
5374,185
1673,466
5590,467
2833,468
275,469
1529,353
3403,470
3009,471
4595,288
6311,472
5012,473
488,98
641,474
9465,475
2538,464
10079,476
10094,477
2788,478
7565,479
4744,480
11872,481
8583,462
2040,482
3190,483
5980,484
924,485
6190,486
110,487
7254,488
5089,373
3244,223
2595,489
8505,490
7734,491
1255,492
4146,15
7958,493
8871,494
8139,495
6115,496
968,497
6160,488
6378,498
3702,499
8632,457
6559,500
6736,501
4955,502
1168,58
6799,41
143,503
1840,504
375,314
3126,505
6739,506
6214,507
514,508
1723,509
7620,378
3861,510
697,511
9644,512
7021,513
1567,514
11942,515
104,516
10422,352
358,100
5176,517
8428,366
4032,518
5296,519
5299,520
882,428
7584,521
9471,460
7760,522
1512,57
1968,523
6448,194
398,180
4948,524
9156,525
4181,40
399,526
785,527
10424,528
9963,529
171,530
6107,531
2283,532
3098,533
6813,534
7004,535
11104,536
7172,537
7252,214
800,538
9567,177
3859,539
1633,540
5167,541
305,542
2324,543
7838,544
910,538
1258,545
3241,546
4572,547
1486,548
2051,249
9111,125
10519,549
2664,550
5808,332
5491,551
4988,552
746,553
2055,550
4768,554
2327,555
7699,556
804,153
1379,414
4584,557
4867,558
8250,559
7383,155
8273,560
4945,425
2383,561
4404,562
11204,563
4154,564
5796,565
7330,544
7814,566
3315,567
291,568
11323,406
3754,499
10919,294
1081,569
1582,530
12073,570
9486,571
5726,572
2428,573
5990,574
2711,452
4097,575
8709,576
7809,87
2539,577
4978,578
159,579
1367,263
1231,580
7499,581
2770,582
3811,450
11735,583
3118,584
9899,585
5484,586
2840,587
3320,66
6167,588
613,589
6070,590
4603,591
5008,592
4375,520
1620,593
6153,594
1056,497
5761,487
5269,595
419,596
3255,597
5983,221
2520,315
2805,598
7101,599
9323,600
11583,601
1187,602
6912,603
6593,92
10233,604
483,605
11753,606
2454,607
4663,608
273,609
4189,57
10618,610
7016,611
2673,612
7241,426
7813,613
5052,135
4640,614
6864,615
2843,616
1037,617
6898,618
512,68
846,619
4026,380
4728,160
5386,620
5722,621
6511,622
4591,623
7513,624
6517,625
3925,288
4532,626
5178,627
1517,169
11874,628
391,629
9225,630
4787,631
8143,632
5326,590
7297,633
5988,483
9214,634
5103,288
1906,635
5249,636
3048,637
3715,638
3742,452
6259,639
8574,640
9328,641
2501,642
290,315
5015,643
8808,220
11341,644
2609,645
11907,646
5884,647
1575,648
2888,255
508,649
9854,650
2782,651
11631,230
9321,652
5253,40
10291,652
6978,653
6573,654
10866,655
1404,656
4009,657
3442,658
6338,659
2064,660
10057,661
4451,662
7274,663
5497,664
9756,665
1398,666
742,667
6216,668
1236,669
5413,631
1668,670
995,395
4134,671
9944,672
6057,673
1034,674
3059,675
5923,599
7605,676
5282,677
4065,643
7917,678
4746,679
4285,680
2485,681
5266,682
5351,683
7283,22
6054,487
10804,684
3128,685
1621,686
9992,687
8607,688
6461,689
7919,690
1309,691
6451,692
3086,693
8835,694
8987,695
964,696
3004,697
4940,698
6620,699
2810,700
10349,24
9786,701
1014,134
696,702
5166,703
2418,704
3559,705
7656,706
2678,707
9101,708
2160,709
5826,197
10649,211
408,710
10532,711
3753,653
9654,712
9584,713
8736,714
11955,715
5610,716
465,269
308,469
2434,717
3649,718
5941,654
738,719
4883,720
7965,4
6732,721
3299,722
3536,723
10016,433
11373,724
1988,670
7231,725
215,726
5130,43
9845,727
5006,728
2700,729
1050,281
2191,730
10051,451
6178,731
7678,732
1293,733
7167,734
10992,735
9651,736
4158,621
5639,737
4542,128
6435,738
455,179
8969,739
6946,91
9327,175
4424,740
8518,694
3231,741
418,88
8919,742
1001,660
7157,743
5625,188
4300,92
3887,744
10270,745
1317,14
9745,746
3465,747
6938,748
4450,400
10053,749
756,750
9199,751
1216,752
4379,753
5298,754
8311,506
130,26
4868,755
4284,756
6710,757
2259,758
1128,759
10149,711
94,760
3667,761
10860,762
8031,763
3443,764
8864,494
6317,765
9570,461
2185,766
5032,767
5892,768
2929,769
9201,770
2412,771
2127,109
6762,222
5806,772
4713,773
585,774
3184,722
5857,517
2611,582
6023,775
3149,776
8821,777
1918,778
3090,779
8672,780
6361,781
8150,782
1071,322
7906,5
7797,783
6066,784
3959,785
10343,536
2153,405
6974,786
10663,787
2411,704
473,526
4229,788
71,718
7846,133
1225,789
6056,728
1809,790
2487,791
1261,282
3368,160
3705,792
1728,67
150,34
5614,58
9057,793
2027,322
10725,794
2992,795
4461,375
6103,796
1552,797
7434,798
1793,483
10514,799
11328,800
521,801
6805,802
3936,803
2722,804
9977,805
10715,806
8147,171
1707,807
6654,808
4331,425
7118,809
3484,810
1689,811
1788,542
4287,812
8059,813
2960,767
9446,814
3981,815
3699,229
6011,389
7144,479
2830,816
4566,817
5800,818
5044,819
8474,820
7475,821
4703,822
3956,452
9309,823
621,824
4352,474
1283,365
3971,72
1690,825
9423,826
4101,540
3780,778
11000,827
2341,382
2806,828
3198,267
10361,829
232,31
1999,830
6720,831
6127,832
5054,768
352,833
8610,834
12060,172
4922,835
2129,836
10803,837
1770,257
4261,261
1776,838
140,839
10906,840
10214,841
2513,34
10598,842
8247,600
6227,513
2044,710
7623,843
11454,724
423,844
8553,845
1318,668
4438,369
8132,360
3673,846
5711,847
1390,848
3814,849
1223,850
2593,851
11440,852
3817,853
4984,854
10375,855
1816,856
4149,857
5348,858
6561,859
1871,860
7780,861
2692,862
9698,863
184,658
209,864
2535,865
538,866
3961,329
4700,867
12118,868
1304,869
5930,870
5285,871
10327,872
4235,755
2301,873
2811,874
1732,875
6390,876
4427,46
5578,877
9543,878
3986,879
659,880
3693,72
3288,881
3410,882
6826,94
4218,704
1355,575
1812,883
5466,884
10579,885
4793,578
5849,631
728,886
2107,887
1810,741
5756,888
7326,889
6492,890
6979,891
2985,892
346,893
1930,717
1253,894
2499,458
11330,895
9635,175
2622,397
8625,757
11073,628
5784,896
8842,897
2862,898
162,261
733,607
7029,899
1970,290
9989,900
8391,901
5935,902
4750,903
10504,904
7525,905
6793,728
11830,242
10994,885
3305,906
5221,907
5551,215
6100,908
7261,909
8014,910
9436,911
5641,410
6482,912
213,913
1048,914
7948,915
5942,168
2132,412
7113,916
2839,917
10255,86
3839,395
6166,918
3386,589
5775,676
3137,919
5632,450
2512,875
2912,296
2122,541
7576,920
10132,826
8096,921
5097,922
2708,923
8324,657
8515,780
3805,187
7639,924
8054,925
5535,926
6733,927
2279,908
6795,928
5940,483
9441,929
1067,930
5904,931
648,567
7870,440
3873,874
8423,581
297,222
7900,168
7461,362
4044,932
7278,933
4668,934
2706,906
146,370
7648,935
6581,742
10410,936
9577,47
1163,937
2337,441
10336,181
5270,428
6285,938
6388,939
8555,217
3418,300
1641,37
1464,940
7140,941
3331,474
2375,355
7875,216
11866,570
4247,942
3183,943
5703,944
2998,509
3398,584
11676,945
3519,946
4198,10
2816,947
10497,948
5459,949
5003,157
4486,950
7505,951
8102,321
7358,699
9458,952
3899,953
11498,954
6906,955
2531,45
934,315
4908,956
8565,957
6212,958
953,959
10524,960
7018,961
5083,962
4816,963
1925,865
3437,964
11952,965
