SequenceID,ClusterID
125,1
1428,2
435,3
1680,4
1508,5
3685,6
6744,7
2782,8
3626,9
4580,10
5852,11
2984,12
209,13
11019,14
7620,15
3331,16
8737,17
3772,18
49,19
1166,20
8607,21
9580,22
771,23
8273,24
6911,25
6890,26
2382,27
10561,28
798,29
7930,30
5206,31
6670,32
5466,33
2878,34
11237,35
3824,36
4642,37
1187,38
12098,39
8985,40
5841,41
2472,42
11394,43
10842,44
9470,45
791,46
5326,47
2024,48
6576,49
2237,50
7082,51
10921,52
3399,53
3003,54
10930,55
5508,56
1637,57
3006,58
7630,59
1306,60
6920,61
8288,62
7592,63
6472,64
5515,65
8084,66
4206,67
9405,68
2374,69
730,70
5439,71
8999,72
404,73
6079,74
10165,75
7206,76
7808,77
783,78
5156,79
105,80
6733,81
4701,82
6964,83
12134,84
4294,85
1841,1
2775,86
7597,40
10181,87
1856,88
3562,89
1062,90
5597,91
10135,92
5048,93
3673,71
1266,94
1930,94
875,95
4349,96
5118,97
5252,98
8505,99
7982,100
3834,101
7388,102
4637,103
3821,104
2692,105
4178,106
8311,107
2831,108
7127,109
2410,110
236,111
2758,112
11954,113
5980,114
8340,115
1269,116
8332,117
1663,118
8095,102
7495,119
2297,120
5588,51
5345,121
445,122
11696,123
6838,124
5839,108
2345,125
11259,126
9207,127
8432,128
3691,129
4494,130
11072,131
9293,132
1782,133
8488,134
4233,135
3316,136
8676,137
5022,138
10625,139
10857,140
11349,141
9067,35
10762,142
1059,143
830,144
11514,145
458,146
2275,147
3773,148
9509,149
1435,150
9327,151
2836,152
4369,153
7605,64
3933,154
11842,155
5955,156
4072,157
5162,158
5441,159
1530,160
2239,161
5684,162
2019,163
4972,164
4447,165
5100,166
4195,167
8577,168
9635,151
1185,169
10282,170
5025,171
3368,172
232,173
933,174
7998,175
9916,176
4120,177
2712,178
988,179
3340,180
5083,181
3899,182
934,80
5524,183
7243,184
9331,185
2446,186
5727,187
8546,188
2746,189
8581,190
5155,191
8253,192
9061,193
2522,194
2664,195
562,196
7126,197
6252,198
674,199
11114,200
2761,201
4724,202
4616,203
7180,204
987,120
7934,205
5469,206
5038,207
2341,208
1127,209
3693,210
741,211
2417,212
11830,213
1626,133
3137,214
1138,215
9267,216
11223,145
6365,217
743,218
5575,219
9889,220
745,221
7283,222
1221,223
10422,224
8897,225
6585,226
3826,227
7579,228
10234,229
5809,230
9888,231
7687,232
10533,233
2279,234
4427,235
194,236
352,237
8550,238
9487,239
3956,240
8926,241
3705,242
3784,243
10217,244
3310,245
1005,246
2538,247
1498,248
2958,249
2170,250
6616,251
8193,252
804,253
6408,254
2066,255
1173,118
5031,256
7261,257
4333,258
2149,259
4433,260
5472,261
7202,262
382,263
11075,264
1409,103
6618,265
3499,266
2725,211
361,267
4687,268
2180,269
11841,270
860,271
4853,272
69,273
5355,274
4149,275
611,276
5942,277
5751,278
8709,279
8835,280
1619,4
2935,96
1932,281
6606,282
10716,283
1625,284
4110,285
5733,286
2084,287
2558,34
8516,288
5001,289
10711,290
4023,291
2183,150
588,240
11860,292
5133,293
8729,294
6776,295
7772,296
7989,297
6864,298
881,299
1250,300
3559,189
6991,301
11907,302
8336,303
6850,304
11296,305
11866,306
10035,307
2783,308
4867,309
9412,310
5089,219
225,311
8276,312
9896,313
3222,98
899,314
10746,315
11732,316
132,57
9592,317
206,318
5731,319
6830,320
6110,321
3865,232
10345,322
8153,323
7406,324
2494,234
9641,325
4405,326
366,327
1679,328
11330,329
1981,330
7464,331
117,332
4308,333
2996,334
11169,335
9232,336
438,218
10299,337
252,338
272,339
3453,340
4004,341
4067,342
1264,343
9098,344
719,221
8119,345
552,346
63,347
1344,348
7187,349
3599,350
3436,97
6518,214
4618,195
4190,351
3474,352
700,353
1857,354
8459,47
839,284
9104,40
9492,355
7676,356
4339,357
1525,358
943,359
5108,360
5246,361
5726,362
7474,220
7134,363
4047,364
567,365
5662,366
3884,367
5999,368
2036,369
2885,370
1288,371
4601,372
4971,373
3808,374
4663,375
5736,376
11056,377
8357,378
5381,379
124,266
9309,380
4272,381
1843,330
2915,382
220,383
2697,104
623,381
8031,384
6984,385
5824,386
5127,387
3619,388
9977,389
357,390
1552,391
727,392
6797,393
10685,394
4652,395
3544,375
652,396
1088,397
1582,398
10643,399
2942,400
5056,401
375,402
5247,403
9553,404
3680,405
8255,406
8708,407
5080,408
129,409
1773,410
1390,411
11139,412
800,413
5966,414
2115,415
993,416
3609,417
11396,418
4970,419
8299,420
6119,421
10056,52
5362,422
340,423
9131,424
8745,92
6856,425
3173,426
2093,427
6138,428
408,429
2383,430
1068,431
5169,116
10455,432
3353,433
9084,434
11773,435
152,436
10532,437
7675,438
8009,59
5915,439
4353,56
2062,440
5150,441
8156,442
11239,443
2051,444
1267,445
10962,176
6996,225
2967,446
2687,447
7974,448
7777,449
1694,160
5298,450
4992,370
3709,451
7790,452
