SequenceID,ClusterID
28100,1
75469,1
18125,1
22654,1
8696,1
86238,1
46790,1
58503,1
12025,1
31336,1
1681,1
65784,1
40873,1
6559,1
12560,1
49047,1
26012,1
17111,1
55396,1
36043,1
23216,1
41346,1
14956,1
76794,1
73180,1
84715,1
70460,1
56383,1
31877,1
36071,1
46072,1
1030,1
74966,1
40860,1
84144,1
53880,1
80909,1
17327,1
89022,1
63209,1
29200,1
424,1
77642,1
37281,1
48447,1
47120,1
67966,1
75173,1
64669,1
32831,1
26975,1
45676,1
49665,1
29587,1
87724,1
41926,1
55128,1
64165,1
32435,1
63299,1
14113,1
88497,1
21164,1
66892,1
72773,1
40103,1
62121,1
39867,1
63392,1
57141,1
83186,1
83878,1
22637,1
66523,1
2754,1
48543,1
17690,1
17746,1
12749,1
67199,1
39497,1
13864,1
87506,1
18759,1
77105,1
7568,1
34147,1
28912,1
54283,1
54081,1
3673,1
18499,1
13414,1
86698,1
66961,1
19856,1
67171,1
48,1
88201,1
85644,1
3885,1
23976,1
5722,1
7835,1
43494,1
55443,1
77280,1
62819,1
57528,1
90688,1
74809,1
82070,1
45080,1
59444,1
6727,1
80608,1
83967,1
63578,1
47480,1
44127,1
67086,1
25373,1
74484,1
26504,1
40423,1
69508,1
17328,1
21932,1
23647,1
69737,1
37267,1
51250,1
4203,1
89568,1
24703,1
46220,1
67770,1
39031,1
84676,1
66712,1
7945,1
59705,1
39347,1
20601,1
56139,1
68642,1
9564,1
66662,1
11586,1
43271,1
32223,1
57501,1
31780,1
92550,1
43620,1
23824,1
46780,1
10657,1
86149,1
1272,1
44055,1
31636,1
14312,1
81035,1
16069,1
28606,1
71854,1
14528,1
85223,1
45826,1
52994,1
21749,1
64736,1
84081,1
36382,1
52013,1
10691,1
48757,1
53698,1
1098,1
66173,1
73015,1
20428,1
55175,1
74694,1
73105,1
67577,1
2663,1
5629,1
54568,1
68337,1
32239,1
70415,1
65943,1
22763,1
43992,1
34432,1
25235,1
19343,1
41817,1
73189,1
20305,1
72132,1
12609,1
70763,1
26801,1
15267,1
88506,1
51489,1
3401,1
584,1
484,1
84637,1
51256,1
85051,1
61383,1
67342,1
20449,1
19145,1
9681,1
60336,1
88640,1
53120,1
37326,1
62049,1
8879,1
32783,1
37000,1
14665,1
5527,1
52669,1
42279,1
68101,1
1491,1
74863,1
55670,1
8248,1
56206,1
81167,1
36241,1
33420,1
35789,1
41953,1
51168,1
23816,1
61623,1
83082,1
90432,1
1602,1
46266,1
48309,1
55576,1
22648,1
78571,1
15707,1
76643,1
15272,1
88665,1
39922,1
78720,1
69357,1
40922,1
65195,1
37706,1
69084,1
72740,1
92429,1
11524,1
65078,1
57391,1
52899,1
56368,1
67166,1
15040,1
62608,1
75826,1
33471,1
16445,1
12018,1
9121,1
84114,1
72169,1
9959,1
16842,1
65120,1
3141,1
38973,1
58541,1
75562,1
57590,1
28922,1
22208,1
88261,1
78282,1
93,1
16361,1
91482,1
14084,1
29882,1
24428,1
21960,1
16481,1
80928,1
8812,1
14207,1
64526,1
55900,1
42661,1
76275,1
60931,1
61721,1
92684,1
71985,1
72639,1
87426,1
458,1
81138,1
81926,1
87396,1
43735,1
20694,1
88679,1
11406,1
14577,1
76962,1
72306,1
32746,1
55650,1
41415,1
2785,1
44435,1
51932,1
16682,1
22750,1
86540,1
81207,1
75226,1
87627,1
5320,1
21403,1
2435,1
30286,1
78937,1
21160,1
30833,1
58568,1
17568,1
17242,1
33629,1
84408,1
2635,1
2041,1
89627,1
38961,1
39607,1
7776,1
7045,1
54386,1
59510,1
27921,1
47978,1
6692,1
77638,1
21649,1
66408,1
14396,1
58879,1
41896,1
72729,1
43283,1
38545,1
2684,1
117,1
44944,1
78795,1
40633,1
69859,1
24743,1
10846,1
43498,1
32445,1
22281,1
42976,1
58728,1
19455,1
70697,1
45772,1
55120,1
54581,1
70170,1
4952,1
36515,1
15002,1
4480,1
