SequenceID,ClusterID
8081,1
7615,1
7441,1
2540,2
4350,1
10958,1
3524,1
11964,1
1284,1
9277,3
10955,1
8950,1
12122,1
1751,4
1621,1
9275,1
8203,1
8606,1
7761,1
7672,1
9846,5
2829,1
11668,1
290,1
1560,1
4189,1
11337,1
9639,1
3528,1
383,1
955,1
1021,1
5891,1
7993,1
3595,6
5195,1
6983,1
9274,1
4559,1
5611,1
143,1
1755,1
1554,7
3302,8
4302,9
951,1
7573,1
5391,1
1173,1
6039,1
10798,1
9995,1
2148,1
8479,10
5161,1
6931,1
5353,1
10048,1
1705,1
5357,11
4020,12
6791,1
10563,1
6928,1
79,13
9205,1
714,1
8543,1
2354,1
4070,1
3354,14
9311,1
8866,15
856,1
5716,16
3924,17
8029,18
10033,1
241,1
9785,1
7776,19
10090,1
2143,1
8200,20
1692,1
7587,1
377,21
3347,1
11660,1
5881,1
11244,1
11524,1
3090,1
8005,1
7323,1
11484,1
1176,1
7838,1
5390,22
5313,1
4509,10
10968,1
9971,1
562,1
6008,1
1500,1
7709,1
925,1
9059,1
1563,23
6762,1
11420,1
8613,1
3139,1
2211,1
658,1
5610,24
9190,1
2967,1
6149,25
11612,1
10537,1
9747,26
973,27
9878,1
401,1
821,1
3494,1
4729,28
7537,1
8557,29
11715,1
11500,1
2879,1
152,1
5972,1
8395,1
7350,30
1704,1
1691,31
4377,1
4085,1
5588,10
2015,10
4740,1
2263,32
1548,1
11397,1
1805,1
12034,1
6985,33
10399,1
4217,1
8022,34
6219,1
5677,35
5398,1
8274,1
1860,36
5336,37
12050,1
5083,1
11183,1
2686,1
6266,38
60,37
4416,1
6663,1
8387,1
8812,1
4520,1
10821,1
7280,39
912,1
8299,1
7868,40
4785,1
1514,1
7274,41
10616,1
11243,1
8114,42
11724,1
3972,1
4617,1
4425,1
9423,1
5526,1
5205,43
9240,1
2975,44
11160,1
1102,1
2398,1
9084,1
266,1
7679,1
8920,1
2170,1
3865,1
7050,1
1115,45
5471,46
4399,1
7433,1
550,1
10103,1
8617,1
12061,1
10578,1
5469,47
8515,48
5856,1
10437,1
3537,1
11598,1
1893,1
308,1
6469,1
10032,1
11373,1
9107,1
2516,49
9135,1
3330,50
11402,1
4642,1
7937,1
8457,1
3512,51
2953,52
2276,1
9449,1
605,53
11588,1
2360,1
9622,1
5824,1
8231,1
3965,1
6652,1
7721,1
6978,1
5705,1
259,1
3296,23
10528,1
11203,1
2267,54
7865,1
3942,1
2885,53
1136,1
10433,1
11256,1
3248,1
6414,1
336,1
10759,1
224,55
899,56
1479,1
8541,1
6523,1
8429,57
1722,1
9168,1
860,1
6453,1
1096,1
11903,1
7594,1
10291,1
10159,1
12096,1
5030,1
8348,1
2966,58
10607,1
6537,1
8407,33
7247,1
2043,1
1292,6
6781,1
3041,1
7956,1
8738,1
6439,1
3628,1
2271,1
7268,1
4313,1
7872,1
4812,1
2122,1
11453,1
651,1
5514,59
6769,53
9845,1
10858,1
2548,1
11576,1
9949,1
515,1
12067,1
1194,60
1406,61
10154,1
10643,1
12152,1
3523,1
7308,1
6218,1
6880,1
159,1
9290,1
10793,1
1551,1
1953,1
7227,62
11354,1
10372,1
9374,1
6181,1
3753,1
8275,1
1937,63
4802,1
9570,1
4750,1
9759,1
6910,1
3075,1
2257,64
10175,1
3222,1
8088,1
12129,1
9940,1
11626,1
10140,1
926,65
6042,1
1307,27
11989,1
12010,1
4700,1
9974,1
2918,1
8739,1
3106,1
1263,1
4974,1
3290,1
2028,1
1974,1
7422,66
4226,1
4297,1
8037,1
8277,1
8316,1
11674,1
6202,67
3846,1
10072,1
2700,1
7494,1
6117,68
11851,1
6562,1
2808,1
4309,1
1261,1
11175,1
4427,1
11919,1
11916,1
1776,1
432,1
5498,1
7902,1
5946,7
1488,1
6981,1
7115,1
4401,69
5420,5
1277,1
1071,70
9666,1
7305,1
10660,1
8880,1
3861,1
7395,71
8574,72
3104,60
9102,1
1134,1
559,73
3333,74
8536,72
1187,1
6365,1
2561,75
9764,1
10078,1
5651,76
2835,21
5534,1
1828,1
6441,77
4055,1
4361,1
570,1
7122,1
5841,1
9328,1
8791,1
11557,1
5605,1
4486,1
6823,1
11914,1
5297,1
2080,78
2186,1
7921,1
8646,1
4776,79
7632,1
55,1
11195,1
3440,1
7022,1
7877,1
9870,1
6022,1
1616,1
9494,1
6504,28
7245,1
11638,1
6031,1
10588,1
6916,80
2777,81
11526,1
2042,1
11892,1
4143,1
11061,1
11452,1
6143,1
8977,1
4054,1
5381,1
6230,1
4844,82
6712,1
7170,1
149,83
10254,1
11182,1
12064,1
6584,1
1889,1
3543,1
4152,21
214,9
5931,1
87,1
7932,1
8243,84
10962,1
7421,1
10785,1
7896,85
1769,1
5809,1
8568,1
10246,1
4124,1
4627,86
5149,1
3999,1
8339,1
8431,1
7603,1
5159,1
160,1
11169,1
7057,1
891,1
2129,87
507,88
7069,1
12018,1
5629,1
746,1
7763,1
2374,1
5257,1
4922,89
1451,1
1089,1
11149,1
890,1
5087,58
10303,1
4680,1
11281,1
807,21
414,1
5638,1
6822,1
10070,1
7282,1
9468,1
5967,1
4943,1
11043,1
6499,90
1249,1
304,1
10961,1
443,1
7141,1
7368,91
11902,1
3893,1
2234,1
8359,41
4472,92
200,64
9483,93
6570,94
474,1
8314,1
6494,16
956,1
3736,95
4757,1
11018,1
282,1
5740,1
10057,1
10310,1
9479,1
