SequenceID,ClusterID
9696,1
4491,2
12162,3
4018,4
3045,5
874,6
11459,7
9368,8
8137,9
9143,10
9281,11
2581,12
5057,13
436,14
3953,15
981,16
1126,16
2275,17
9186,18
9941,19
2994,7
2436,20
6327,21
5414,22
6163,23
11738,24
8455,25
2641,26
1014,27
10948,28
4493,29
6740,30
1800,31
10115,32
10935,33
10375,34
3427,35
1715,36
3216,37
5224,38
4754,39
10550,40
6161,41
11434,42
8104,43
8598,44
1682,45
10127,46
6255,47
7329,48
4742,49
9156,50
2992,51
3069,52
7199,53
4032,54
11404,55
9118,56
685,2
7864,57
8204,58
2267,59
7801,60
1323,61
6983,62
524,11
10694,11
4658,63
6695,64
2637,65
5663,66
4596,67
7707,68
2272,69
9741,70
1493,51
1321,71
4935,72
4996,73
1147,74
7465,75
1199,76
1338,77
7871,78
648,79
1853,80
5988,66
10040,81
11043,82
788,83
8321,84
5993,85
11543,66
5001,86
8950,87
2428,49
7746,88
10131,89
2962,90
5686,91
10444,92
10049,51
6977,93
1287,94
8572,66
6824,95
11668,96
4749,97
6331,98
789,99
8194,100
10079,101
5936,102
7711,103
5762,104
2642,105
6471,106
4509,107
11341,108
10104,109
208,110
104,110
9424,111
8458,112
2498,113
2277,114
8896,115
5632,116
9301,117
2106,118
1499,119
6910,120
8822,121
9314,122
2685,123
10585,124
8284,125
9932,126
953,127
3311,128
8674,129
8480,130
2025,131
192,132
5516,133
3090,134
9044,135
9791,136
811,137
9866,49
3120,138
4075,139
1739,140
365,141
818,61
1434,99
9066,69
4428,142
8747,143
823,144
1451,145
4802,146
8375,147
7611,148
6783,149
10171,150
2088,39
3076,151
5,152
10574,135
7695,153
814,154
6249,155
11603,156
9539,157
1702,158
12035,159
2364,160
4549,161
3531,23
2823,162
5263,103
10144,163
1919,164
95,165
7364,166
5872,167
570,168
10401,169
8249,56
1720,170
10326,171
8508,172
5902,173
878,174
3745,175
8713,176
11250,177
5596,178
4322,179
4863,180
6125,181
296,182
7255,183
2003,184
7500,185
9070,186
4695,187
1071,188
8003,189
6566,190
9646,191
551,192
1484,193
5118,194
3131,195
2878,196
2940,178
8430,197
7100,198
1791,199
8688,185
5605,200
6472,118
7944,154
533,201
6966,202
8255,57
3986,203
10412,204
11991,205
8825,206
1254,207
7983,208
4846,209
9523,210
5981,211
11674,212
564,140
3362,110
10028,213
6666,214
9517,215
3663,216
9747,217
8555,18
149,76
3034,175
9421,218
183,79
3212,219
2458,23
8427,43
9663,220
9135,221
3936,57
2636,222
45,223
2213,224
10414,225
6573,226
475,162
9816,124
11050,227
3222,228
1284,229
4710,230
4551,231
7212,232
1407,233
2037,234
7776,235
9991,236
12132,237
8988,238
4124,155
5339,239
3932,240
11874,71
3973,203
5482,39
1031,241
5514,242
4767,243
7571,244
6694,245
4501,246
6761,247
5007,248
8851,249
1230,250
6244,251
9329,252
6271,253
544,9
7859,254
2057,127
3857,255
7042,256
4700,257
7309,258
4769,259
318,183
9472,260
10513,261
8176,262
5755,263
2633,264
294,265
10292,266
8817,62
7075,267
5371,268
2369,269
8244,270
9123,271
5731,180
11694,272
189,273
5221,274
2523,275
2171,211
4919,276
8677,277
2901,278
6111,204
5153,279
3850,280
7339,281
7043,282
3765,62
11399,283
1027,162
3054,284
729,285
2779,286
3713,287
3065,288
7518,280
6600,279
1078,289
5343,290
4369,291
10228,211
474,292
10815,293
1885,177
8492,294
7148,295
4897,296
2419,297
10108,298
10032,4
2061,299
10408,300
9133,298
10572,70
1582,301
5460,182
1430,302
8420,303
7796,304
1246,305
9278,306
5383,307
5138,183
3842,308
11308,151
4047,309
10097,310
5132,55
2470,311
4762,312
10023,313
1607,314
6223,315
11655,203
9800,250
10890,316
5086,317
10041,318
2753,319
3894,228
11666,320
2232,321
6915,128
1832,322
10763,323
9872,324
8550,325
7166,326
9743,327
6323,328
12092,329
2203,239
5653,138
1835,330
3253,331
8523,332
10072,333
1049,334
8289,110
7417,335
5644,141
1215,336
2424,337
10339,338
8644,339
3514,340
5477,341
8628,342
4237,343
3944,344
1437,234
9338,345
2318,288
12155,346
7585,347
4960,348
11444,349
7628,350
10455,351
10046,352
6000,353
5892,354
2173,289
9626,355
11324,182
3851,125
10981,356
7175,357
8700,358
4081,359
2308,360
3884,361
1274,362
3056,363
2616,29
1847,364
8706,365
9005,366
11497,367
7826,234
6536,368
1377,369
3406,370
496,361
9580,294
136,74
7899,371
12083,372
