SequenceID,ClusterID
54972,1
68227,2
82364,1
41882,1
85605,1
24848,3
5051,1
71966,1
17746,1
40768,1
52684,1
55117,1
55782,1
81320,4
46578,1
68411,1
35280,1
6267,1
7895,5
60890,1
350,1
58557,1
41865,1
52216,1
57151,1
61187,1
24981,1
45323,1
40166,1
60836,1
35111,1
45489,1
5274,6
8206,1
4996,1
2101,1
71551,7
76347,1
5206,1
76952,1
47747,1
5309,1
56486,1
49188,1
9470,1
89650,1
87244,1
52726,1
38900,1
37707,1
77739,1
83440,1
34569,1
11158,8
7371,1
64100,1
86134,1
44311,1
49318,1
58268,1
6090,1
78388,1
70705,1
70177,1
23271,1
61191,1
25104,1
46947,1
89386,1
42283,1
35912,1
25711,1
36162,1
5786,1
51084,1
71961,1
38030,1
31486,1
30110,1
42979,1
30959,1
29086,9
40690,1
45208,1
80584,1
5264,1
70993,1
92198,1
12983,1
63038,1
86280,1
65728,1
59924,1
84513,1
16384,1
80441,1
51322,1
56668,1
49466,1
63377,1
33490,10
87941,1
50656,1
7118,1
14059,1
93091,1
39979,1
65888,1
25375,1
66105,1
5320,1
14942,1
59628,1
75173,1
33588,10
51780,1
56005,1
23285,1
85861,1
62838,1
20431,1
3233,11
4841,1
4050,1
8263,1
66296,1
14734,1
26330,1
89276,1
63669,1
31408,1
66049,1
50015,1
77396,1
39016,1
17750,1
20033,1
54753,1
77744,1
71987,1
68733,1
38397,1
47632,12
18399,1
71431,1
40619,1
43271,1
2241,1
63173,1
82623,1
38372,1
5164,1
67124,1
71973,1
28038,1
26775,1
35184,1
62551,1
50985,1
85491,1
2844,1
60908,1
21809,1
13080,10
4608,1
42925,1
39118,1
53175,1
29406,1
39522,1
31841,1
48702,1
59426,1
10986,1
40634,1
50299,1
34687,1
73045,1
68332,1
74527,1
83033,1
1354,1
51250,1
79132,1
49367,1
77300,1
18889,1
81723,1
7565,1
89802,1
17859,1
70816,1
20378,1
52246,1
86163,1
12959,1
48051,1
46294,1
86192,1
16920,1
65469,1
72143,1
62858,1
51883,1
48395,1
13079,1
60434,1
52111,1
50127,1
13127,1
29616,1
83448,1
30324,1
91022,13
80234,1
55855,1
10227,1
41213,1
90429,1
77952,1
92949,1
7090,1
39731,1
61444,1
79615,1
38393,1
1418,1
5969,1
76342,1
23824,1
28794,1
41244,1
2398,1
6731,1
39447,1
17801,1
30109,1
76316,1
7720,1
88001,1
35198,1
75552,1
14956,1
93138,1
84787,1
32915,1
24042,1
17166,1
89998,1
48287,1
2148,1
29216,1
70511,1
43005,14
46343,1
28517,1
68275,1
17241,1
87049,1
75351,1
40873,1
75750,1
85085,1
70187,1
37477,1
13311,1
83467,1
76267,1
77336,1
59556,1
76921,1
51996,1
80670,1
85458,1
75022,1
79261,1
10435,15
31352,1
46157,1
14867,1
53721,1
26439,1
21381,1
59633,1
90239,1
69248,1
90874,1
30214,1
22431,1
33665,16
47811,1
63590,1
70329,1
2803,1
42148,1
7650,1
29143,1
56931,10
87775,1
31757,1
9998,1
90812,1
68823,1
27368,1
41983,1
3738,1
47769,1
49389,1
72594,1
55257,1
86577,1
59135,1
35574,1
55454,1
584,1
28687,1
67333,1
59231,1
88210,1
43332,1
69807,1
46528,1
79048,1
80189,1
13516,1
27691,1
75267,1
4013,1
14537,1
61104,1
27635,1
26958,1
87988,1
61190,17
49173,1
42585,1
48184,1
17251,1
7471,18
24906,1
54270,1
10090,1
3435,1
33475,1
18808,1
62410,1
67495,10
23043,1
7066,1
67469,1
3884,1
76861,1
53787,1
2842,1
44360,19
4430,1
41172,1
79316,1
40552,1
13805,20
51140,1
9785,21
53857,1
92051,1
5055,1
3455,1
56864,1
42712,1
85743,1
72791,1
70264,1
93341,1
81219,1
34869,1
49249,1
45870,1
72917,1
37236,1
64548,1
32778,1
56023,1
54059,1
53657,22
51106,1
11250,1
23521,1
70887,23
82383,24
32223,1
48100,1
35543,1
66434,1
4684,1
89313,1
12232,21
60452,1
91642,1
69701,1
34921,1
899,1
67259,1
486,1
75266,1
57736,1
5352,1
93178,1
17907,1
32507,1
1951,1
39141,1
20811,1
78646,1
81786,1
33657,1
71296,1
37926,1
45069,1
5157,1
44944,1
4064,1
7764,1
56623,1
74856,1
18274,1
17495,1
83084,1
1325,1
38863,1
58931,1
14879,1
48550,1
1142,1
77836,1
19477,1
80174,1
6415,1
55907,1
85739,1
76710,25
42764,1
73139,1
82723,1
66883,1
60119,1
83277,1
47476,1
79828,1
18110,1
84381,1
1224,1
43300,1
26975,1
50549,1
40056,26
48664,1
47721,27
33447,1
2907,1
26679,1
24560,28
56297,1
76534,1
14630,1
71167,1
41873,1
28671,1
72781,1
47618,1
91449,1
31121,1
20583,1
61905,1
58923,1
56368,1
53535,1
88950,1
617,1
25629,1
73469,1
89900,1
9397,1
76071,1
54072,1
47656,1
22209,1
39025,1
44837,1
21825,1
50058,1
75116,1
62419,1
57144,1
31945,1
57166,1
14227,1
31024,1
21173,1
4623,1
23525,1
19148,1
4209,1
52522,1
16467,1
32431,1
81587,1
16403,29
54645,1
38625,1
46424,1
49390,1
65094,1
18499,1
11358,1
55685,1
56392,1
25788,1
74204,1
42290,30
13981,1
20745,1
57829,1
77849,1
38228,1
37568,1
57983,1
75458,1
65130,31
83855,1
32562,1
50869,1
17910,1
42920,1
42704,1
89853,1
89423,1
14938,1
62456,1
39705,1
34084,1
33531,1
91850,1
79427,1
76705,1
4307,1
82691,1
16846,1
25235,1
23032,1
58962,1
25417,1
78240,1
7133,1
40540,1
48,1
54991,32
66742,1
89812,1
92002,1
76639,1
24611,1
56473,1
54098,1
45040,1
53395,1
56013,1
46593,33
26339,1
62977,1
71389,1
60580,1
9649,34
35874,1
